Normal,Fighting,$,,,,,$,,,,,,,,,,,Ghost,$,
Fighting,Flying,Psychic,Fairy,$,,,Rock,Bug,Dark,$,,,,,,,,$,,
Flying,Rock,Electric,Ice,$,,,Fighting,Bug,Grass,$,,,,,,,,Ground,$,
Poison,Ground,Psychic,$,,,,Fighting,Poison,Bug,Grass,Fairy,$,,,,,,$,,
Ground,Water,Grass,Ice,$,,,Poison,Rock,$,,,,,,,,,Electric,$,
Rock,Fighting,Ground,Steel,Water,Grass,$,Normal,Flying,Poison,Fire,$,,,,,,,$,,
Bug,Flying,Rock,Fire,$,,,Fighting,Ground,Grass,$,,,,,,,,$,,
Ghost,Ghost,Dark,$,,,,Poison,Bug,$,,,,,,,,,Normal,Fighting,$
Steel,Fighting,Ground,Fire,$,,,Normal,Flying,Rock,Bug,Steel,Grass,Psychic,Ice,Dragon,Fairy,$,Poison,$,
Fire,Ground,Rock,Water,$,,,Bug,Steel,Fire,Grass,Ice,Fairy,$,,,,,$,,
Water,Grass,Electric,$,,,,Steel,Fire,Water,Ice,$,,,,,,,$,,
Grass,Flying,Poison,Bug,Fire,Ice,$,Ground,Water,Grass,Electric,$,,,,,,,$,,
Electric,Ground,$,,,,,Flying,Steel,Electric,$,,,,,,,,$,,
Psychic,Bug,Ghost,Dark,$,,,Fighting,Psychic,$,,,,,,,,,$,,
Ice,Fighting,Rock,Steel,Fire,$,,Ice,$,,,,,,,,,,$,,
Dragon,Ice,Dragon,Fairy,$,,,Fire,Water,Grass,Electric,$,,,,,,,$,,
Dark,Fighting,Bug,Fairy,$,,,Ghost,Dark,$,,,,,,,,,Psychic,$,
Fairy,Posion,Steel,$,,,,Fighting,Bug,Dark,$,,,,,,,,Dragon,$,